"sp" "spn" "depth" "taxa" "ntip"
"species" "84" "0.0101257378509826" "Zotu111_P1_E02_21MMC3_S517_N701;size=2" "4"
"species" "84" "0.0101257378509826" "Zotu39_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "85" "0.00239409252948206" "Zotu140_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "85" "0.00239409252948206" "Zotu20_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "87" "0.0011937491689237" "Zotu42_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "87" "0.0011937491689237" "Zotu29_P1_D10_4SHC5C2R_S502_N706;size=1" "2"
"species" "88" "0.0011937491689237" "Zotu46_P1_D10_4SHC5C2R_S502_N706;size=1" "2"
"species" "88" "0.0011937491689237" "Zotu241_P1_D05_13SHC4C1_S505_N703;size=6" "2"
"species" "89" "0.00845489347229208" "Zotu176_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "89" "0.00845489347229208" "Zotu57_P1_D10_4SHC5C2R_S502_N706;size=1" "2"
"species" "90" "0.0066237887553649" "Zotu55_P1_G01_8IZTPOCR_S505_N701;size=3" "3"
"species" "90" "0.0066237887553649" "Zotu86_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "90" "0.0066237887553649" "Zotu129_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "91" "0.00726521594332825" "Zotu176_P1_D05_13SHC4C1_S505_N703;size=7" "4"
"species" "91" "0.00726521594332825" "Zotu160_P1_E02_21MMC3_S517_N701;size=2" "4"
"species" "91" "0.00726521594332825" "Zotu110_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "91" "0.00726521594332825" "Zotu117_P2_E04_21MMC3b_S502_N709;size=1" "4"
"species" "92" "0.00360110333828589" "Zotu29_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "92" "0.00360110333828589" "Zotu17_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "92" "0.00360110333828589" "Zotu161_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "93" "0.00724631933444696" "Zotu22_P1_D10_4SHC5C2R_S502_N706;size=2" "3"
"species" "93" "0.00724631933444696" "Zotu3_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "93" "0.00724631933444696" "Zotu120_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "94" "0.0168980811218936" "Zotu60_P1_D10_4SHC5C2R_S502_N706;size=2" "6"
"species" "94" "0.0168980811218936" "Zotu117_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "94" "0.0168980811218936" "Zotu147_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "94" "0.0168980811218936" "Zotu156_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "94" "0.0168980811218936" "Zotu127_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "94" "0.0168980811218936" "Zotu160_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "95" "0.00239409252948206" "Zotu78_P1_D05_13SHC4C1_S505_N703;size=2" "2"
"species" "95" "0.00239409252948206" "Zotu101_P1_C03_29TRE808_S504_N702;size=2" "2"
"species" "96" "0.0131709817717142" "Zotu74_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "96" "0.0131709817717142" "Zotu141_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "96" "0.0131709817717142" "Zotu70_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "96" "0.0131709817717142" "Zotu99_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "96" "0.0131709817717142" "Zotu79_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "97" "0.0171697234907271" "Zotu90_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu113_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu102_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu112_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu170_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu66_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu23_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu151_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu107_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu157_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu171_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "97" "0.0171697234907271" "Zotu116_P1_G01_8IZTPOCR_S505_N701;size=1" "12"
"species" "98" "0.0072604553987959" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "8"
"species" "98" "0.0072604553987959" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "8"
"species" "98" "0.0072604553987959" "Zotu40_P1_E02_21MMC3_S517_N701;size=2" "8"
"species" "98" "0.0072604553987959" "Zotu161_P1_D05_13SHC4C1_S505_N703;size=1" "8"
"species" "98" "0.0072604553987959" "Zotu26_P2_A03_11MMOC3W_S502_N708;size=1" "8"
"species" "98" "0.0072604553987959" "Zotu74_P2_D03_12MMOC3R_S504_N708;size=2" "8"
"species" "98" "0.0072604553987959" "Zotu173_P2_G03_2SHCN5C2J_S506_N708;size=1" "8"
"species" "98" "0.0072604553987959" "Zotu106_P1_E02_21MMC3_S517_N701;size=3" "8"
"species" "99" "0.0121763488682328" "Zotu90_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu113_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu102_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu112_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu170_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu66_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu23_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu107_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "99" "0.0121763488682328" "Zotu157_P1_G01_8IZTPOCR_S505_N701;size=1" "9"
"species" "100" "0.0141310964351029" "Zotu151_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "100" "0.0141310964351029" "Zotu171_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "100" "0.0141310964351029" "Zotu116_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "101" "0.00663490972963891" "Zotu60_P1_D10_4SHC5C2R_S502_N706;size=2" "4"
"species" "101" "0.00663490972963891" "Zotu117_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "101" "0.00663490972963891" "Zotu147_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "101" "0.00663490972963891" "Zotu156_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "102" "0.0109082089401004" "Zotu127_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "102" "0.0109082089401004" "Zotu160_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "103" "0.0100518684547001" "Zotu61_P1_G01_8IZTPOCR_S505_N701;size=3" "6"
"species" "103" "0.0100518684547001" "Zotu182_P2_A01_16IZPOC1_S502_N707;size=2" "6"
"species" "103" "0.0100518684547001" "Zotu167_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "103" "0.0100518684547001" "Zotu65_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "103" "0.0100518684547001" "Zotu175_P1_D05_13SHC4C1_S505_N703;size=2" "6"
"species" "103" "0.0100518684547001" "Zotu85_P1_D05_13SHC4C1_S505_N703;size=2" "6"
"species" "104" "0.00764201549254637" "Zotu101_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "104" "0.00764201549254637" "Zotu113_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "104" "0.00764201549254637" "Zotu125_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "104" "0.00764201549254637" "Zotu86_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "105" "0.0109554711544601" "Zotu171_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "105" "0.0109554711544601" "Zotu116_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "106" "0.0117899842169761" "Zotu141_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "106" "0.0117899842169761" "Zotu70_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "106" "0.0117899842169761" "Zotu99_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "106" "0.0117899842169761" "Zotu79_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "107" "0.010363132886127" "Zotu75_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "107" "0.010363132886127" "Zotu109_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "107" "0.010363132886127" "Zotu83_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "108" "0.0103137007661369" "Zotu90_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "108" "0.0103137007661369" "Zotu113_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "108" "0.0103137007661369" "Zotu102_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
